row_id,condition,cond_row_id,matrix,base_idx,param_j,theta_id,eta,f_cl_i,f_cl_v,E_m_i,E_m_v,E_m_h,L_hat,gamma_s,E_b_v2,lambda,B_111,E_b_i2,E_b_hV_1,Z_i,Z_i_loop,E_a0_conv,dH2_conv,phi_max_junc,dH2_abs_conv,i_mobile,loop_net_chi,loop_net_w_c,loop_net_K_rec,s_i,Z_v,Z_p_i,Z_p_v,Z_gb_i,Z_gb_v,rho_d,d_g,rho_p,r_p,s_v
4600,S330,4600,S,0,-1,0,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4601,S330,4601,S,1,-1,1,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4602,S330,4602,S,2,-1,2,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4603,S330,4603,S,3,-1,3,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4604,S330,4604,S,4,-1,4,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4605,S330,4605,S,5,-1,5,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4606,S330,4606,S,6,-1,6,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4607,S330,4607,S,7,-1,7,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4608,S330,4608,S,8,-1,8,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.2,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4609,S330,4609,S,9,-1,9,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4610,S330,4610,S,10,-1,10,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4611,S330,4611,S,11,-1,11,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4612,S330,4612,S,12,-1,12,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4613,S330,4613,S,13,-1,13,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4614,S330,4614,S,14,-1,14,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4615,S330,4615,S,15,-1,15,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4616,S330,4616,S,16,-1,16,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4617,S330,4617,S,17,-1,17,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.33333333333333337,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4618,S330,4618,S,18,-1,18,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
