row_id,condition,cond_row_id,matrix,base_idx,param_j,f_cl_i,f_cl_v,E_m_v,L_hat,gamma_s,loop_net_K_rec,loop_net_w_c,loop_net_chi
0,N330,0,A,0,-1,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
1,N330,1,B,0,-1,0.172529467754066,0.34661862747743721,0.8877368906308688,1019.4015737101546,2.0814753001634116,4.0047650127607303e-06,3.5472213424367389,6.1208727253197015
2,N330,2,AB,0,0,0.172529467754066,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
3,N330,3,AB,0,1,0.24798787254840138,0.34661862747743721,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
4,N330,4,AB,0,2,0.24798787254840138,0.54283201396465297,0.8877368906308688,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
5,N330,5,AB,0,3,0.24798787254840138,0.54283201396465297,0.82689411287868297,1019.4015737101546,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
6,N330,6,AB,0,4,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0814753001634116,7.6275854743383613e-05,3.0975606392082473,4.7265964700643002
7,N330,7,AB,0,5,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,4.0047650127607303e-06,3.0975606392082473,4.7265964700643002
8,N330,8,AB,0,6,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.5472213424367389,4.7265964700643002
9,N330,9,AB,0,7,0.24798787254840138,0.54283201396465297,0.82689411287868297,23.004590734378471,2.0595056266755956,7.6275854743383613e-05,3.0975606392082473,6.1208727253197015
10,N330,10,A,1,-1,0.12183636631816626,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
11,N330,11,B,1,-1,0.14723495263606312,0.54322394011542197,0.66877196869399602,93.904761597252858,1.9075549353930568,0.00018336796111316094,139.15140031116817,16.60734732884837
12,N330,12,AB,1,0,0.14723495263606312,0.40442409114912148,0.64032140063344445,1627.8086124335148,1.8254040974088495,0.00014989658302058459,129.84725911474825,43.328901173379599
